PairKey,SMILES_A,SMILES_B,Target_neglog_molkg,source
C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1||CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,2.737918842951633,Acute_Oral_Toxicity
C=CC#N||C=CC(=O)OCC,C=CC#N,C=CC(=O)OCC,2.5033154196475205,Smyth
C=CC#N||C=O,C=CC#N,C=O,1.966849285228989,Smyth
C=CC#N||CC#N,C=CC#N,CC#N,2.4006571498194376,Smyth
C=CC#N||CC(=O)c1ccccc1,C=CC#N,CC(=O)c1ccccc1,2.24198890172086,Smyth
C=CC#N||CC(C)=O,C=CC#N,CC(C)=O,2.471303840088811,Smyth
C=CC#N||CC(O)CO,C=CC#N,CC(O)CO,2.281168983765782,Smyth
C=CC#N||CC(O)COC(C)COC(C)C,C=CC#N,CC(O)COC(C)COC(C)C,2.644750250163667,Smyth
C=CC#N||CC1=CC(=O)CC(C)(C)C1,C=CC#N,CC1=CC(=O)CC(C)(C)C1,2.6390272302121813,Smyth
C=CC#N||CC1CO1,C=CC#N,CC1CO1,2.152373926927443,Smyth
C=CC#N||CCCCCCCCCCCCCOCCOCCOCCO,C=CC#N,CCCCCCCCCCCCCOCCOCCOCCO,3.072174947851232,Smyth
C=CC#N||CCCCOCCCC,C=CC#N,CCCCOCCCC,2.528174867049751,Smyth
C=CC#N||CCCCOCCO,C=CC#N,CCCCOCCO,2.628205349839179,Smyth
C=CC#N||CCO,C=CC#N,CCO,2.3494127658482986,Smyth
C=CC#N||CCOC(C)=O,C=CC#N,CCOC(C)=O,2.578798054755813,Smyth
C=CC#N||Cc1ccccc1,C=CC#N,Cc1ccccc1,2.6462295588318625,Smyth
C=CC#N||ClC(Cl)(Cl)Cl,C=CC#N,ClC(Cl)(Cl)Cl,2.557124059433529,Smyth
C=CC#N||ClC(Cl)=C(Cl)Cl,C=CC#N,ClC(Cl)=C(Cl)Cl,2.6831515046385745,Smyth
C=CC#N||Nc1ccccc1,C=CC#N,Nc1ccccc1,2.4032633042543656,Smyth
C=CC#N||O=[N+]([O-])c1ccccc1,C=CC#N,O=[N+]([O-])c1ccccc1,2.5173186418485294,Smyth
C=CC#N||OCCNCCO,C=CC#N,OCCNCCO,1.904410680681032,Smyth
C=CC#N||OCCO,C=CC#N,OCCO,2.3732873576601703,Smyth
C=CC#N||OCCOCCOCCOCCOCCOCCOCCOCCO,C=CC#N,OCCOCCOCCOCCOCCOCCOCCOCCO,2.8393407591573188,Smyth
C=CC#N||OCCOc1ccccc1,C=CC#N,OCCOc1ccccc1,2.6047783075705544,Smyth
C=CC(=O)OCC||C=O,C=CC(=O)OCC,C=O,1.7526888235624352,Smyth
C=CC(=O)OCC||CC#N,C=CC(=O)OCC,CC#N,1.7610709986165776,Smyth
C=CC(=O)OCC||CC(=O)c1ccccc1,C=CC(=O)OCC,CC(=O)c1ccccc1,1.8887874766988912,Smyth
C=CC(=O)OCC||CC(C)=O,C=CC(=O)OCC,CC(C)=O,1.812599053902368,Smyth
C=CC(=O)OCC||CC(O)CO,C=CC(=O)OCC,CC(O)CO,1.7963679767743823,Smyth
C=CC(=O)OCC||CC(O)COC(C)COC(C)C,C=CC(=O)OCC,CC(O)COC(C)COC(C)C,1.876088354424512,Smyth
C=CC(=O)OCC||CC1=CC(=O)CC(C)(C)C1,C=CC(=O)OCC,CC1=CC(=O)CC(C)(C)C1,1.9512870377548404,Smyth
C=CC(=O)OCC||CC1CO1,C=CC(=O)OCC,CC1CO1,1.9836135492290987,Smyth
C=CC(=O)OCC||CCCCCCCCCCCCCOCCOCCOCCO,C=CC(=O)OCC,CCCCCCCCCCCCCOCCOCCOCCO,2.192136687571713,Smyth
C=CC(=O)OCC||CCCCOCCCC,C=CC(=O)OCC,CCCCOCCCC,1.8615053778553663,Smyth
C=CC(=O)OCC||CCCCOCCO,C=CC(=O)OCC,CCCCOCCO,1.9383849302417249,Smyth
C=CC(=O)OCC||CCO,C=CC(=O)OCC,CCO,1.8100558332276857,Smyth
C=CC(=O)OCC||CCOC(C)=O,C=CC(=O)OCC,CCOC(C)=O,1.8178352640704232,Smyth
C=CC(=O)OCC||Cc1ccccc1,C=CC(=O)OCC,Cc1ccccc1,1.759488298065694,Smyth
C=CC(=O)OCC||ClC(Cl)(Cl)Cl,C=CC(=O)OCC,ClC(Cl)(Cl)Cl,1.7806103882463156,Smyth
C=CC(=O)OCC||ClC(Cl)=C(Cl)Cl,C=CC(=O)OCC,ClC(Cl)=C(Cl)Cl,1.8681565313153083,Smyth
C=CC(=O)OCC||Nc1ccccc1,C=CC(=O)OCC,Nc1ccccc1,1.8471628538934,Smyth
C=CC(=O)OCC||O=[N+]([O-])c1ccccc1,C=CC(=O)OCC,O=[N+]([O-])c1ccccc1,2.257564450112992,Smyth
C=CC(=O)OCC||OCCNCCO,C=CC(=O)OCC,OCCNCCO,1.5443391742225656,Smyth
C=CC(=O)OCC||OCCO,C=CC(=O)OCC,OCCO,1.6379329179983928,Smyth
C=CC(=O)OCC||OCCOCCOCCOCCOCCOCCOCCOCCO,C=CC(=O)OCC,OCCOCCOCCOCCOCCOCCOCCOCCO,2.247640706517757,Smyth
C=CC(=O)OCC||OCCOc1ccccc1,C=CC(=O)OCC,OCCOc1ccccc1,1.84201905440822,Smyth
C=O||CC#N,C=O,CC#N,1.262328376214536,Smyth
C=O||CC(=O)c1ccccc1,C=O,CC(=O)c1ccccc1,1.8568005537134744,Smyth
C=O||CC(C)=O,C=O,CC(C)=O,1.4279746236879065,Smyth
C=O||CC(O)CO,C=O,CC(O)CO,1.2876295310201156,Smyth
C=O||CC(O)COC(C)COC(C)C,C=O,CC(O)COC(C)COC(C)C,1.5460041981282524,Smyth
C=O||CC1=CC(=O)CC(C)(C)C1,C=O,CC1=CC(=O)CC(C)(C)C1,1.5413213882690011,Smyth
C=O||CC1CO1,C=O,CC1CO1,1.434562626215952,Smyth
C=O||CCCCCCCCCCCCCOCCOCCOCCO,C=O,CCCCCCCCCCCCCOCCOCCOCCO,2.06020459185454,Smyth
C=O||CCCCOCCCC,C=O,CCCCOCCCC,1.789340170916064,Smyth
C=O||CCCCOCCO,C=O,CCCCOCCO,1.6834803567253265,Smyth
C=O||CCO,C=O,CCO,1.328675740319731,Smyth
C=O||CCOC(C)=O,C=O,CCOC(C)=O,1.7041506109543485,Smyth
C=O||Cc1ccccc1,C=O,Cc1ccccc1,1.6248080250547805,Smyth
C=O||ClC(Cl)(Cl)Cl,C=O,ClC(Cl)(Cl)Cl,1.1345426943871542,Smyth
C=O||ClC(Cl)=C(Cl)Cl,C=O,ClC(Cl)=C(Cl)Cl,1.5205981895552836,Smyth
C=O||Nc1ccccc1,C=O,Nc1ccccc1,1.2459301409235712,Smyth
C=O||O=[N+]([O-])c1ccccc1,C=O,O=[N+]([O-])c1ccccc1,2.008530502831214,Smyth
C=O||OCCNCCO,C=O,OCCNCCO,2.005679204511295,Smyth
C=O||OCCO,C=O,OCCO,1.1709677310049666,Smyth
C=O||OCCOCCOCCOCCOCCOCCOCCOCCO,C=O,OCCOCCOCCOCCOCCOCCOCCOCCO,1.5530537253848935,Smyth
C=O||OCCOc1ccccc1,C=O,OCCOc1ccccc1,1.5523243746718365,Smyth
CC#N||CC(=O)c1ccccc1,CC#N,CC(=O)c1ccccc1,1.886909223854607,Smyth
CC#N||CC(C)=O,CC#N,CC(C)=O,1.3822383414797206,Smyth
CC#N||CC(O)CO,CC#N,CC(O)CO,0.4043456193200719,Smyth
CC#N||CC(O)COC(C)COC(C)C,CC#N,CC(O)COC(C)COC(C)C,1.2371627605849653,Smyth
CC#N||CC1=CC(=O)CC(C)(C)C1,CC#N,CC1=CC(=O)CC(C)(C)C1,1.5814159035966175,Smyth
CC#N||CC1CO1,CC#N,CC1CO1,1.8400341918659184,Smyth
CC#N||CCCCCCCCCCCCCOCCOCCOCCO,CC#N,CCCCCCCCCCCCCOCCOCCOCCO,1.7840967951601328,Smyth
CC#N||CCCCOCCCC,CC#N,CCCCOCCCC,1.0311385783405198,Smyth
CC#N||CCCCOCCO,CC#N,CCCCOCCO,1.4321977779634163,Smyth
CC#N||CCO,CC#N,CCO,0.605968238661572,Smyth
CC#N||CCOC(C)=O,CC#N,CCOC(C)=O,0.7364779316772225,Smyth
CC#N||Cc1ccccc1,CC#N,Cc1ccccc1,1.2396002395886876,Smyth
CC#N||ClC(Cl)(Cl)Cl,CC#N,ClC(Cl)(Cl)Cl,1.0672775608156515,Smyth
CC#N||ClC(Cl)=C(Cl)Cl,CC#N,ClC(Cl)=C(Cl)Cl,1.391251292548306,Smyth
CC#N||Nc1ccccc1,CC#N,Nc1ccccc1,1.6625923042779105,Smyth
CC#N||O=[N+]([O-])c1ccccc1,CC#N,O=[N+]([O-])c1ccccc1,1.8725858682787224,Smyth
