SMILES_A,SMILES_B,Target_neglog_molkg
C=O,CCCCCCCCCCCCCOCCOCCOCCO,2.06020459185454
C=O,CCCCOCCCC,1.789340170916064
C=O,CCCCOCCO,1.6834803567253265
C=O,CCO,1.328675740319731
C=O,CCOC(C)=O,1.7041506109543485
C=O,Cc1ccccc1,1.6248080250547805
C=O,ClC(Cl)(Cl)Cl,1.1345426943871542
C=O,ClC(Cl)=C(Cl)Cl,1.5205981895552836
C=O,Nc1ccccc1,1.2459301409235712
C=O,O=[N+]([O-])c1ccccc1,2.008530502831214
C=O,OCCNCCO,2.005679204511295
C=O,OCCO,1.1709677310049666
C=O,OCCOCCOCCOCCOCCOCCOCCOCCO,1.5530537253848935
C=O,OCCOc1ccccc1,1.5523243746718365
CC#N,CC(=O)c1ccccc1,1.886909223854607
CC#N,CC(C)=O,1.3822383414797206
CC#N,CC(O)CO,0.4043456193200719
CC#N,CC(O)COC(C)COC(C)C,1.2371627605849653
CC#N,CC1=CC(=O)CC(C)(C)C1,1.5814159035966175
CC#N,CC1CO1,1.8400341918659184
CC#N,CCCCCCCCCCCCCOCCOCCOCCO,1.7840967951601328
CC#N,CCCCOCCCC,1.0311385783405198
CC#N,CCCCOCCO,1.4321977779634163
CC#N,CCO,0.605968238661572
CC#N,CCOC(C)=O,0.7364779316772225
CC#N,Cc1ccccc1,1.2396002395886876
CC#N,ClC(Cl)(Cl)Cl,1.0672775608156515
CC#N,ClC(Cl)=C(Cl)Cl,1.391251292548306
CC#N,Nc1ccccc1,1.6625923042779105
CC#N,O=[N+]([O-])c1ccccc1,1.8725858682787224
CC#N,OCCNCCO,1.595380721804849
CC#N,OCCO,0.8087370642073912
CC#N,OCCOCCOCCOCCOCCOCCOCCOCCO,1.551310627146823
CC#N,OCCOc1ccccc1,1.180599648069791
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,3.4440698369404945
CC(=O)OO,OO,2.2777811444398344
CC(=O)c1ccccc1,CC(C)=O,1.4598310607095917
CC(=O)c1ccccc1,CC(O)CO,1.0621639088127377
CC(=O)c1ccccc1,CC(O)COC(C)COC(C)C,1.3156873947468284
CC(=O)c1ccccc1,CC1=CC(=O)CC(C)(C)C1,1.4537702032410895
CC(=O)c1ccccc1,CC1CO1,1.621872248321362
CC(=O)c1ccccc1,CCCCCCCCCCCCCOCCOCCOCCO,1.7379233295144447
CC(=O)c1ccccc1,CCCCOCCCC,1.6331145619162095
CC(=O)c1ccccc1,CCCCOCCO,1.87942833282382
CC(=O)c1ccccc1,CCO,1.5132406839739698
CC(=O)c1ccccc1,CCOC(C)=O,1.5818701414470155
CC(=O)c1ccccc1,Cc1ccccc1,1.738631101897642
CC(=O)c1ccccc1,ClC(Cl)(Cl)Cl,1.9263560184015704
CC(=O)c1ccccc1,ClC(Cl)=C(Cl)Cl,1.9708915720925675
CC(=O)c1ccccc1,Nc1ccccc1,1.854930656716008
CC(=O)c1ccccc1,O=[N+]([O-])c1ccccc1,2.10944636573327
CC(=O)c1ccccc1,OCCNCCO,1.7060648211006193
CC(=O)c1ccccc1,OCCO,1.267691475926359
CC(=O)c1ccccc1,OCCOCCOCCOCCOCCOCCOCCOCCO,1.4800443190850718
CC(=O)c1ccccc1,OCCOc1ccccc1,1.4524310983770383
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,4.497862229577772
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,CN(C)C(=S)SSC(=S)N(C)C,2.548082522945193
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,3.06933307817748
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,2.6875726689992043
CC(C)(C)C(O)C(Cc1ccc(Cl)cc1)n1cncn1,CC(C)C(O)(c1ccc(OC(F)(F)F)cc1)c1cncnc1,2.672207951371229
CC(C)=CCCC(C)=CCO,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,2.701934346797424
CC(C)=O,CC(O)CO,0.5607222171398913
CC(C)=O,CC(O)COC(C)COC(C)C,0.8759938410930392
CC(C)=O,CC1=CC(=O)CC(C)(C)C1,1.6917515962728118
CC(C)=O,CC1CO1,1.3558361819198854
CC(C)=O,CCCCCCCCCCCCCOCCOCCOCCO,1.3691408395331632
CC(C)=O,CCCCOCCCC,0.9740662629992884
CC(C)=O,CCCCOCCO,1.458763429452952
CC(C)=O,CCO,0.6013802904610945
CC(C)=O,CCOC(C)=O,0.8543239148606132
CC(C)=O,Cc1ccccc1,1.11961982299938
CC(C)=O,ClC(Cl)(Cl)Cl,1.3731709791416162
CC(C)=O,ClC(Cl)=C(Cl)Cl,1.2616314818069907
CC(C)=O,Nc1ccccc1,1.7365111088837282
CC(C)=O,O=[N+]([O-])c1ccccc1,2.147013965500748
CC(C)=O,OCCNCCO,1.7554458686430583
CC(C)=O,OCCO,0.5417070323928865
CC(C)=O,OCCOCCOCCOCCOCCOCCOCCOCCO,1.1038303978277764
CC(C)=O,OCCOc1ccccc1,1.1249343106096157
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,CC1=C(C(=O)Nc2ccccc2)SCCO1,2.55928719021898
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,CNC(=N[N+](=O)[O-])NCc1cnc(Cl)s1,2.306742637286912
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,2.564694596478458
CC(C)CC(C)c1sccc1NC(=O)c1cn(C)nc1C(F)(F)F,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,2.2651041120701434
CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,CSc1nnc(C(C)(C)C)c(=O)n1N,2.3576936724105257
CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,3.3740313912683604
CC(O)COC(C)COC(C)C,CC(O)COC(C)COC(C)C,1.406530755742775
CC(O)COC(C)COC(C)C,CC1=CC(=O)CC(C)(C)C1,1.3639776897300728
CC(O)COC(C)COC(C)C,CC1CO1,1.7114379518229643
CC(O)COC(C)COC(C)C,CCCCCCCCCCCCCOCCOCCOCCO,1.6499493233895848
CC(O)COC(C)COC(C)C,CCCCOCCCC,1.1793323377611244
CC(O)COC(C)COC(C)C,CCCCOCCO,1.5811759826686558
CC(O)COC(C)COC(C)C,CCO,0.9450481691197504
CC(O)COC(C)COC(C)C,CCOC(C)=O,1.0924351709647135
CC(O)COC(C)COC(C)C,Cc1ccccc1,1.162716942548032
CC(O)COC(C)COC(C)C,ClC(Cl)(Cl)Cl,1.3193163513153445
