PairKey,Formulation_ID,DrugA,DrugB,CASRN_A,CASRN_B,SMILES_A,SMILES_B,MW_A,MW_B,Percent_Active_A,Percent_Active_B,Total_Active_Percent_Known,Known_Component_Count,Effective_Mixture_MW_ActiveOnly,LD50_A_mg_per_kg,LD50_B_mg_per_kg,neglog_A,neglog_B,Mixture_LD50_mg_per_kg,Mixture_neglog_molkg
CC(C)=CCCC(C)=CCO||CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,AcuteOralToxicity_PID_529,Geraniol,Deltamethrin,106-24-1,52918-63-5,CC(C)=CCCC(C)=CCO,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,154.253,505.20600000000024,17.28,0.75,18.03,2.0,158.84301514281694,4200.0,,1.564984328795392,,1750.0,2.701934346797424
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1||CC1=C(C(=O)Nc2ccccc2)SCCO1,AcuteOralToxicity_PID_640,Ipconazole,Carboxin,125225-28-7,5234-68-4,CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,CC1=C(C(=O)Nc2ccccc2)SCCO1,333.86300000000006,235.30799999999996,2.22,35.53,37.75,2.0,239.46508193211577,,2588.0,,1.9586724205715982,1750.0,2.55928719021898
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1||CNC(=N[N+](=O)[O-])NCc1cnc(Cl)s1,AcuteOralToxicity_PID_589,Ipconazole,Clothianidin,125225-28-7,210880-92-5,CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,CNC(=N[N+](=O)[O-])NCc1cnc(Cl)s1,333.86300000000006,249.683,1.02,37.89,39.720000000000006,3.0,251.85898004173688,,2000.0,,2.0963589781750414,3129.0,2.306742637286912
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1||COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,AcuteOralToxicity_PID_332,Ipconazole,Metalaxyl,125225-28-7,57837-19-1,CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,333.86300000000006,279.336,6.04,19.27,25.31,2.0,290.664708727623,,617.5,,2.6554899479684946,3129.0,2.564694596478458
CC(C)CC(C)c1sccc1NC(=O)c1cn(C)nc1C(F)(F)F||N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,AcuteOralToxicity_PID_607,Penthiopyrad,Chlorothalonil,183675-82-3,1897-45-6,CC(C)CC(C)c1sccc1NC(=O)c1cn(C)nc1C(F)(F)F,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,359.41700000000003,265.914,8.9,22.3,31.200000000000003,2.0,287.22928056165193,,422.0,,2.7994287519685725,5000.0,2.2651041120701434
CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1||CSc1nnc(C(C)(C)C)c(=O)n1N,AcuteOralToxicity_PID_377,Flufenacet,Metribuzin,142459-58-3,21087-64-9,CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,CSc1nnc(C(C)(C)C)c(=O)n1N,363.336,214.29399999999998,24.0,36.0,60.0,2.0,256.3575986766724,1491.0,711.0,2.3868307872387056,2.4791404107069743,1875.0,2.3576936724105257
CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1||O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,AcuteOralToxicity_PID_031,Imidacloprid,Pyriproxyfen,138261-41-3,95737-68-1,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1,255.665,321.37600000000003,9.1,0.46,9.56,2.0,258.20532787741473,,,,,1141.5,3.3740313912683604
CC(Oc1ccc(Oc2ccc(C#N)cc2F)cc1)C(=O)O||CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C#N)cc2F)cc1,AcuteOralToxicity_PID_139,Cyhalofop-butyl,Cyhalofop-butyl,122008-78-0,122008-85-9,CC(Oc1ccc(Oc2ccc(C#N)cc2F)cc1)C(=O)O,CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C#N)cc2F)cc1,301.273,357.38100000000003,29.6,29.6,59.2,2.0,326.9371962001294,,,,,1612.0,2.5347775896202194
CC1(C)C(=O)N(CO)C(=O)N1CO||O=c1[nH]sc2ccccc12,AcuteOralToxicity_PID_612,"1,2-Benzisothiazolin-3-one","1,3-Dimethylol-5,5-dimethylhydantoin",2634-33-5,6440-58-0,O=c1[nH]sc2ccccc12,CC1(C)C(=O)N(CO)C(=O)N1CO,151.18999999999997,188.183,10.4,13.4,27.0,3.0,163.27086232008625,1020.0,2890.0,2.1709228952733675,1.8136825449868483,1367.0,2.6457764077692274
CC1(C)C(=O)N(Cl)C(=O)N1Br||CC1(C)C(=O)N(Cl)C(=O)N1Cl,AcuteOralToxicity_PID_389,"1,3-Dichloro-5,5-dimethylhydantoin","1-Bromo-3-chloro-5,5-dimethylhydantoin",118-52-5,16079-88-2,CC1(C)C(=O)N(Cl)C(=O)N1Cl,CC1(C)C(=O)N(Cl)C(=O)N1Br,197.02100000000002,241.472,27.4,60.0,98.0,3.0,223.8602986732443,542.0,1390.0,2.5605132325067252,2.239851978930788,468.5,2.6880414079420025
