idx,PairKey,DrugA,DrugB,source,SMILES_A,SMILES_B,true_pLD50,pred_pLD50,toxicity_level,top_atoms_A,top_atoms_B,xai_method,text_path,drugA_highlight_path,drugB_highlight_path,drugA_bars_path,drugB_bars_path,summary_json_path
4,C1COCCN1||C=CC#N,morpholine,prop-2-enenitrile,Smyth,C1COCCN1,C=CC#N,2.130152225,2.196291052,moderately toxic,ring N sp3 degree 2 1 H (atom 5); ring C sp3 degree 2 2 H (atom 4); ring C sp3 degree 2 2 H (atom 0),C sp degree 2 (atom 2); C sp2 degree 1 2 H (atom 0); C sp2 degree 2 1 H (atom 1),FeatureAblation,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCN1__C=CC#N_explanation.txt,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCN1__C=CC#N_drugA_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCN1__C=CC#N_drugB_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCN1__C=CC#N_drugA_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCN1__C=CC#N_drugB_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCN1__C=CC#N_summary.json
131,CC#N||Nc1ccccc1,acetonitrile,aniline,Smyth,CC#N,Nc1ccccc1,1.662592292,1.807433109,mildly toxic,N sp degree 1 (atom 2); C sp3 degree 1 3 H (atom 0); C sp degree 2 (atom 1),N sp2 degree 1 2 H (atom 0); aromatic C sp2 degree 2 1 H (atom 5); aromatic C sp2 degree 2 1 H (atom 3),FeatureAblation,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC#N__Nc1ccccc1_explanation.txt,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC#N__Nc1ccccc1_drugA_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC#N__Nc1ccccc1_drugB_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC#N__Nc1ccccc1_drugA_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC#N__Nc1ccccc1_drugB_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC#N__Nc1ccccc1_summary.json
172,CC(C)=O||CCOC(C)=O,propan-2-one,ethyl acetate,Smyth,CC(C)=O,CCOC(C)=O,0.854323924,1.039506184,very mildly toxic,C sp3 degree 1 3 H (atom 2); C sp3 degree 1 3 H (atom 0); C sp2 degree 3 (atom 1),C sp3 degree 1 3 H (atom 0); C sp2 degree 3 (atom 3); C sp3 degree 1 3 H (atom 4),FeatureAblation,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC(C)=O__CCOC(C)=O_explanation.txt,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC(C)=O__CCOC(C)=O_drugA_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC(C)=O__CCOC(C)=O_drugB_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC(C)=O__CCOC(C)=O_drugA_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC(C)=O__CCOC(C)=O_drugB_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC(C)=O__CCOC(C)=O_summary.json
17,C1COCCN1||CCOC(C)=O,morpholine,ethyl acetate,Smyth,C1COCCN1,CCOC(C)=O,1.393189549,1.410294756,very mildly toxic,ring N sp3 degree 2 1 H (atom 5); ring C sp3 degree 2 2 H (atom 1); ring C sp3 degree 2 2 H (atom 3),C sp3 degree 1 3 H (atom 4); O sp2 degree 2 (atom 2); C sp3 degree 1 3 H (atom 0),FeatureAblation,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCN1__CCOC(C)=O_explanation.txt,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCN1__CCOC(C)=O_drugA_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCN1__CCOC(C)=O_drugB_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCN1__CCOC(C)=O_drugA_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCN1__CCOC(C)=O_drugB_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCN1__CCOC(C)=O_summary.json
46,C1COCCO1||O=[N+]([O-])c1ccccc1,"1,4-dioxane",nitrobenzene,Smyth,C1COCCO1,O=[N+]([O-])c1ccccc1,2.15125823,2.087505998,moderately toxic,ring C sp3 degree 2 2 H (atom 3); ring C sp3 degree 2 2 H (atom 1); ring C sp3 degree 2 2 H (atom 4),O sp2 degree 1 charge -1 (atom 2); O sp2 degree 1 (atom 0); N sp2 degree 3 charge +1 (atom 1),FeatureAblation,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCO1__O=[N+]([O-])c1ccccc1_explanation.txt,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCO1__O=[N+]([O-])c1ccccc1_drugA_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCO1__O=[N+]([O-])c1ccccc1_drugB_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCO1__O=[N+]([O-])c1ccccc1_drugA_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCO1__O=[N+]([O-])c1ccccc1_drugB_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\C1COCCO1__O=[N+]([O-])c1ccccc1_summary.json
372,Nc1ccccc1||O=[N+]([O-])c1ccccc1,aniline,nitrobenzene,Smyth,Nc1ccccc1,O=[N+]([O-])c1ccccc1,2.340027571,2.040420505,moderately toxic,N sp2 degree 1 2 H (atom 0); aromatic C sp2 degree 3 (atom 1); aromatic C sp2 degree 2 1 H (atom 5),N sp2 degree 3 charge +1 (atom 1); O sp2 degree 1 charge -1 (atom 2); aromatic C sp2 degree 2 1 H (atom 6),FeatureAblation,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\Nc1ccccc1__O=[N+]([O-])c1ccccc1_explanation.txt,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\Nc1ccccc1__O=[N+]([O-])c1ccccc1_drugA_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\Nc1ccccc1__O=[N+]([O-])c1ccccc1_drugB_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\Nc1ccccc1__O=[N+]([O-])c1ccccc1_drugA_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\Nc1ccccc1__O=[N+]([O-])c1ccccc1_drugB_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\Nc1ccccc1__O=[N+]([O-])c1ccccc1_summary.json
279,CCCCCCCCCCCCCOCCOCCOCCO||OCCOc1ccccc1,2-[2-(2-tridecoxyethoxy)ethoxy]ethanol,2-phenoxyethanol,Smyth,CCCCCCCCCCCCCOCCOCCOCCO,OCCOc1ccccc1,1.435496569,1.525818059,mildly toxic,C sp3 degree 2 2 H (atom 21); C sp3 degree 2 2 H (atom 20); C sp3 degree 2 2 H (atom 15),aromatic C sp2 degree 3 (atom 4); aromatic C sp2 degree 2 1 H (atom 6); aromatic C sp2 degree 2 1 H (atom 8),FeatureAblation,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CCCCCCCCCCCCCOCCOCCOCCO__OCCOc1ccccc1_explanation.txt,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CCCCCCCCCCCCCOCCOCCOCCO__OCCOc1ccccc1_drugA_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CCCCCCCCCCCCCOCCOCCOCCO__OCCOc1ccccc1_drugB_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CCCCCCCCCCCCCOCCOCCOCCO__OCCOc1ccccc1_drugA_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CCCCCCCCCCCCCOCCOCCOCCO__OCCOc1ccccc1_drugB_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CCCCCCCCCCCCCOCCOCCOCCO__OCCOc1ccccc1_summary.json
365,ClC(Cl)=C(Cl)Cl||OCCNCCO,"1,1,2,2-tetrachloroethene",2-(2-hydroxyethylamino)ethanol,Smyth,ClC(Cl)=C(Cl)Cl,OCCNCCO,1.693162203,1.931125525,mildly toxic,C sp2 degree 3 (atom 1); C sp2 degree 3 (atom 3); Cl sp3 degree 1 (atom 5),N sp3 degree 2 1 H (atom 3); C sp3 degree 2 2 H (atom 4); C sp3 degree 2 2 H (atom 2),FeatureAblation,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\ClC(Cl)=C(Cl)Cl__OCCNCCO_explanation.txt,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\ClC(Cl)=C(Cl)Cl__OCCNCCO_drugA_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\ClC(Cl)=C(Cl)Cl__OCCNCCO_drugB_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\ClC(Cl)=C(Cl)Cl__OCCNCCO_drugA_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\ClC(Cl)=C(Cl)Cl__OCCNCCO_drugB_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\ClC(Cl)=C(Cl)Cl__OCCNCCO_summary.json
240,CC1=CC(=O)CC(C)(C)C1||ClC(Cl)(Cl)Cl,"3,5,5-trimethylcyclohex-2-en-1-one",tetrachloromethane,Smyth,CC1=CC(=O)CC(C)(C)C1,ClC(Cl)(Cl)Cl,1.940697074,1.62762453,mildly toxic,C sp3 degree 1 3 H (atom 0); ring C sp2 degree 3 (atom 3); ring C sp2 degree 3 (atom 1),C sp3 degree 4 (atom 1); Cl sp3 degree 1 (atom 4); Cl sp3 degree 1 (atom 2),FeatureAblation,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC1=CC(=O)CC(C)(C)C1__ClC(Cl)(Cl)Cl_explanation.txt,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC1=CC(=O)CC(C)(C)C1__ClC(Cl)(Cl)Cl_drugA_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC1=CC(=O)CC(C)(C)C1__ClC(Cl)(Cl)Cl_drugB_highlight.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC1=CC(=O)CC(C)(C)C1__ClC(Cl)(Cl)Cl_drugA_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC1=CC(=O)CC(C)(C)C1__ClC(Cl)(Cl)Cl_drugB_bars.png,C:\Users\msi\Downloads\IRP Jupiter nb\Data\processed_graphs\phase5_benchmark_outputs\CC1=CC(=O)CC(C)(C)C1__ClC(Cl)(Cl)Cl_summary.json
