DrugA,DrugB,SMILES_A,SMILES_B,LD50_A_ml/kg,LD50_B_ml/kg,Mixture_LD50_ml/kg,Unit
PEG 400,Toluene,OCCOCCOCCOCCOCCOCCOCCOCCO,Cc1ccccc1,40.1,7.8,9.007,ml/kg
PEG 400,Ucon 50HB260,OCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)OCC(C)OCC(C)O,40.1,5.33,6.673,ml/kg
PEG 400,Ucon LB250,OCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)OCC(C)OCC(C)O,40.1,10.1,17.166,ml/kg
Propylene glycol,Propylene oxide,CC(O)CO,CC1CO1,44.3,0.73,3.78,ml/kg
Propylene glycol,Tergitol XD,CC(O)CO,CCCCCCCCCCCCCOCCOCCOCCO,44.3,5.66,12.093,ml/kg
Propylene glycol,Tetrachloroethylene,CC(O)CO,ClC(Cl)=C(Cl)Cl,44.3,8,8.019,ml/kg
Propylene glycol,Toluene,CC(O)CO,Cc1ccccc1,44.3,7.8,15.791,ml/kg
Propylene glycol,Ucon 50HB260,CC(O)CO,CC(C)OCC(C)OCC(C)O,44.3,5.33,13.216,ml/kg
Propylene glycol,Ucon LB250,CC(O)CO,CC(C)OCC(C)OCC(C)O,44.3,10.1,18.077,ml/kg
Propylene oxide,Tergitol XD,CC1CO1,CCCCCCCCCCCCCOCCOCCOCCO,0.73,5.66,3.233,ml/kg
Propylene oxide,Tetrachloroethylene,CC1CO1,ClC(Cl)=C(Cl)Cl,0.73,8,2.027,ml/kg
Propylene oxide,Toluene,CC1CO1,Cc1ccccc1,0.73,7.8,1.854,ml/kg
Propylene oxide,Ucon 50HB260,CC1CO1,CC(C)OCC(C)OCC(C)O,0.73,5.33,2.006,ml/kg
Propylene oxide,Ucon LB250,CC1CO1,CC(C)OCC(C)OCC(C)O,0.73,10.1,2.837,ml/kg
Tergitol XD,Tetrachloroethylene,CCCCCCCCCCCCCOCCOCCOCCO,ClC(Cl)=C(Cl)Cl,5.66,8,9.895,ml/kg
Tergitol XD,Toluene,CCCCCCCCCCCCCOCCOCCOCCO,Cc1ccccc1,5.66,7.8,9.111,ml/kg
Tergitol XD,Ucon 50HB260,CCCCCCCCCCCCCOCCOCCOCCO,CC(C)OCC(C)OCC(C)O,5.66,5.33,4.902,ml/kg
Tergitol XD,Ucon LB250,CCCCCCCCCCCCCOCCOCCOCCO,CC(C)OCC(C)OCC(C)O,5.66,10.1,5.946,ml/kg
Tetrachloroethylene,Toluene,ClC(Cl)=C(Cl)Cl,Cc1ccccc1,8,7.8,4.566,ml/kg
Tetrachloroethylene,Ucon 50HB260,ClC(Cl)=C(Cl)Cl,CC(C)OCC(C)OCC(C)O,8,5.33,4.81,ml/kg
Tetrachloroethylene,Ucon LB250,ClC(Cl)=C(Cl)Cl,CC(C)OCC(C)OCC(C)O,8,10.1,7.631,ml/kg
Toluene,Ucon 50HB260,Cc1ccccc1,CC(C)OCC(C)OCC(C)O,7.8,5.33,9.895,ml/kg
Toluene,Ucon LB250,Cc1ccccc1,CC(C)OCC(C)OCC(C)O,7.8,10.1,9.364,ml/kg
Ucon 50HB260,Ucon LB250,CC(C)OCC(C)OCC(C)O,CC(C)OCC(C)OCC(C)O,5.33,10.1,6.583,ml/kg
