DrugA,DrugB,SMILES_A,SMILES_B,LD50_A_mg/kg,LD50_B_mg/kg,Mixture_LD50_mg/kg,MW_A,MW_B,LD50_A_neglog,LD50_B_neglog,Mixture_neglog
Acetone,Acetonitrile,CC(=O)C,CC#N,8760.6,6500.219999999999,2055.6535,58.08,41.053,0.8214927563452248,0.8004168436427894,1.3822383414797206
Acetone,Acetophenone,CC(=O)C,CC(=O)c1ccccc1,8760.6,2549.44,3091.1650000000004,58.08,120.15099999999995,0.8214927563452248,1.673282594241833,1.4598310607095915
Acetone,Acrylonitrile,CC(=O)C,C=CC#N,8760.6,112.84000000000002,187.73800000000003,58.08,53.06399999999999,0.8214927563452248,2.6723369068069913,2.471303840088811
Acetone,Aniline,CC(=O)C,Nc1ccccc1,8760.6,725.6199999999999,1386.8725,58.08,93.12899999999999,0.8214927563452248,2.1083756950975885,1.7365111088837282
Acetone,Butyl Cellosolve,CC(=O)C,CCCCOCCO,8760.6,2146.76,3064.4355,58.08,118.17599999999999,0.8214927563452248,1.740745791372431,1.4587634294529521
Acetone,Butyl ether,CC(=O)C,CCCCOCCCC,8760.6,10390.4,9994.9225,58.08,130.231,0.8214927563452248,1.0980821084263572,0.9740662629992883
Acetone,Carbon tetrachloride,CC(=O)C,ClC(Cl)(Cl)Cl,8760.6,4909.52,4486.794,58.08,153.823,0.8214927563452248,1.4959822435581474,1.3731709791416162
Acetone,Diethanolamine,CC(=O)C,OCCNCCO,8760.6,877.6,1433.143,58.08,105.137,0.8214927563452248,2.07845896604771,1.7554458686430583
Acetone,Dioxane,CC(=O)C,C1COCCO1,8760.6,6683.509999999999,6418.449,58.08,88.106,0.8214927563452248,1.1200008825933447,1.0564456925428976
Acetone,Ethyl acetate,CC(=O)C,CCOC(=O)C,8760.6,9831.8,10222.376499999998,58.08,88.106,0.8214927563452248,0.9523724492991003,0.8543239148606132
Acetone,Ethyl acrylate,CC(=O)C,CCOC(=O)C=C,8760.6,761.1099999999999,1217.781,58.08,100.11699999999999,0.8214927563452248,2.1190603994765276,1.8125990539023682
Acetone,Ethyl alcohol,CC(=O)C,CCO,8760.6,15543.3,13039.016,58.08,46.069,0.8214927563452248,0.4718655559401559,0.6013802904610945
Acetone,Ethylene glycol,CC(=O)C,OCCO,8760.6,7189.9800000000005,17257.565,58.08,62.068000000000005,0.8214927563452248,0.9361400691300721,0.5417070323928865
Acetone,Formalin,CC(=O)C,C=O,8760.6,2016.5,1644.375,58.08,30.026,0.8214927563452248,1.1728992539194776,1.4279746236879063
Acetone,Isophorone,CC(=O)C,CC1=CC(=O)CC(C)(C)C1,8760.6,2104.44,1995.7980000000005,58.08,138.20999999999998,0.8214927563452248,1.8174029189459762,1.6917515962728118
Acetone,Morpholine,CC(=O)C,C1COCCN1,8760.6,1631.34,3291.9039999999995,58.08,87.122,0.8214927563452248,1.7275833515664596,1.343495441044638
Acetone,Nitrobenzene,CC(=O)C,[O-][N+](=O)c1ccccc1,8760.6,599.5,645.792,58.08,123.11099999999996,0.8214927563452248,2.3125076715555126,2.1470139655007476
Acetone,Phenyl Cellosolve,CC(=O)C,c1ccccc1OCCO,8760.6,3614.56,7359.3,58.08,138.166,0.8214927563452248,1.582345746423963,1.1249343106096155
Acetone,PEG 400,CC(=O)C,OCCOCCOCCOCCOCCOCCOCCOCCO,8760.6,45232.8,16869.790499999996,58.08,370.4390000000002,0.8214927563452248,0.9132632308859374,1.1038303978277764
Acetone,Propylene glycol,CC(=O)C,CC(O)CO,8760.6,45894.8,18446.730000000003,58.08,76.095,0.8214927563452248,0.21959263974080165,0.5607222171398913
Acetone,Propylene oxide,CC(=O)C,CC1CO1,8760.6,627.07,2559.708,58.08,58.08,0.8214927563452248,1.9667105837403391,1.3558361819198854
Acetone,Tergitol XD,CC(=O)C,CCCCCCCCCCCCCOCCOCCOCCO,8760.6,5999.6,8347.702500000001,58.08,332.5250000000001,0.8214927563452248,1.7437020056790038,1.3691408395331632
Acetone,Tetrachloroethylene,CC(=O)C,ClC(Cl)=C(Cl)Cl,8760.6,12976.0,6129.4255,58.08,165.834,0.8214927563452248,1.1065327393989566,1.2616314818069907
Acetone,Toluene,CC(=O)C,Cc1ccccc1,8760.6,6762.6,5702.704000000001,58.08,92.14099999999999,0.8214927563452248,1.1343392211439922,1.11961982299938
