method,faithfulness_gain,deletion_auc_top,deletion_auc_random,stability,sanity,faithfulness_norm,stability_norm,sanity_norm,composite_score
IntegratedGradients,1.8605415876746179,3.317499357774855,1.4569577701002359,0.9978279416869537,0.4893633943340919,1.0,1.0,0.5476282327445819,0.9095256465489164
FeatureAblation,1.1782425789088011,2.623469758465886,1.4452271795570852,0.9707549021159255,0.6363833590731237,0.26843739812543693,0.8597792129865625,0.9678918218771858,0.5857308273341244
Saliency,1.768233487686515,3.138701756671071,1.3704682689845564,0.8805478016489107,0.2977877129043045,0.9010270380964722,0.39256493553169125,0.0,0.5682829997077434
SmoothGrad,1.507180582228303,2.9172739140987396,1.4100933318704367,0.9690464594293392,0.3003835787036067,0.6211254989027197,0.8509305878644374,0.007420406335002272,0.5673260070776915
GradInput,1.6817950603812937,3.0197277403324847,1.337932679951191,0.80475357555582,0.5626960230045465,0.808347553048214,0.0,0.7572530532938124,0.5556243871828696
GNNExplainerStyleMask,0.9278818166345357,2.4200275509208438,1.4921457342863085,0.9200337176370558,0.6476156983418992,0.0,0.59707637213186,1.0,0.379122911639558
