epoch,train_loss_scaled,val_loss_scaled,val_mae_original,val_rmse_original,val_r2_original,lr,model_name
36.0,0.1095310871247892,0.0956261779727607,0.3142240047454834,0.4517236649990082,0.8250219683329494,1.25e-05,SymmetricFusionRegressor
39.0,0.08071966993587988,0.09799915783364198,0.3205588757991791,0.44663023948669434,0.8289456536114813,2.5e-05,ConcatRegressor
48.0,0.06979254870503038,0.10190164349202452,0.3290216326713562,0.4558928608894348,0.821777121402873,6.25e-06,ConcatProdRegressor
56.0,0.06513767488024853,0.10865664045358527,0.3325921893119812,0.4750739634037018,0.8064646610224593,3.125e-06,AbsDiffConcatRegressor
40.0,0.08106052588533472,0.11508588235953758,0.34214502573013306,0.4947197139263153,0.7901271404187578,5e-05,GatedFusionRegressor
68.0,0.0971787279954663,0.111221292152487,0.3544328510761261,0.47741416096687317,0.804553269356588,3.125e-06,BilinearConcatProdRegressor
