DrugA,DrugB,SMILES_A,SMILES_B,LD50_A_mg/kg,LD50_B_mg/kg,Mixture_LD50_mg/kg
Acetophenone,Ethyl acetate,CC(=O)c1ccccc1,CCOC(=O)C,2549.44,9831.800000000001,2727.0900000000006
Acetophenone,Ethyl acrylate,CC(=O)c1ccccc1,CCOC(=O)C=C,2549.44,761.1099999999999,1422.7675000000002
Acetophenone,Ethyl alcohol,CC(=O)c1ccccc1,CCO,2549.44,15543.300000000001,2549.251
Acetophenone,Ethylene glycol,CC(=O)c1ccccc1,OCCO,2549.44,7189.9800000000005,4918.9475
Acetophenone,Formalin,CC(=O)c1ccccc1,C=O,2549.44,2016.5000000000002,1044.1740000000002
Acetophenone,Isophorone,CC(=O)c1ccccc1,CC1=CC(=O)CC(C)(C)C1,2549.44,2104.44,4543.879000000001
Acetophenone,Morpholine,CC(=O)c1ccccc1,C1COCCN1,2549.44,1631.34,1973.95
Acetophenone,Nitrobenzene,CC(=O)c1ccccc1,[O-][N+](=O)c1ccccc1,2549.44,599.5,945.3615000000001
Acetophenone,Phenyl Cellosolve,CC(=O)c1ccccc1,c1ccccc1OCCO,2549.44,3614.56,4557.134999999999
Acetophenone,PEG 400,CC(=O)c1ccccc1,OCCOCCOCCOCCOCCOCCOCCOCCO,2549.44,45232.799999999996,8121.651999999999
Acetophenone,Propylene glycol,CC(=O)c1ccccc1,CC(O)CO,2549.44,45894.799999999996,8503.68
Acetophenone,Propylene oxide,CC(=O)c1ccccc1,CC1CO1,2549.44,627.07,2128.536
Acetophenone,Tergitol XD,CC(=O)c1ccccc1,CCCCCCCCCCCCCOCCOCCOCCO,2549.44,5999.6,4138.416
Acetophenone,Tetrachloroethylene,CC(=O)c1ccccc1,ClC(Cl)=C(Cl)Cl,2549.44,12976.0,1529.05
Acetophenone,Toluene,CC(=O)c1ccccc1,Cc1ccccc1,2549.44,6762.6,1937.6374999999998
Acetophenone,Ucon 50HB260,CC(=O)c1ccccc1,CC(C)OCC(C)OCC(C)O,2549.44,5596.500000000001,5582.5470000000005
Acetophenone,Ucon LB250,CC(=O)c1ccccc1,CC(C)OCC(C)OCC(C)O,2549.44,10605.0,9194.111
Acrylonitrile,Aniline,C=CC#N,Nc1ccccc1,112.84000000000002,725.6199999999999,288.824
Acrylonitrile,Butyl Cellosolve,C=CC#N,CCCCOCCO,112.84000000000002,2146.76,201.544
Acrylonitrile,Butyl ether,C=CC#N,CCCCOCCCC,112.84000000000002,10390.4,271.61
Acrylonitrile,Carbon tetrachloride,C=CC#N,ClC(Cl)(Cl)Cl,112.84000000000002,4909.52,286.80000000000007
Acrylonitrile,Diethanolamine,C=CC#N,OCCNCCO,112.84000000000002,877.6,985.754
Acrylonitrile,Dioxane,C=CC#N,C1COCCO1,112.84000000000002,6683.509999999999,344.81249999999994
