SMILES_A,SMILES_B,Mixture_neglog
Nc1ccccc1,CC1=CC(=O)CC(C)(C)C1,1.8041849303315458
Nc1ccccc1,C1COCCN1,2.0746940378877077
Nc1ccccc1,[O-][N+](=O)c1ccccc1,2.340027463161263
Nc1ccccc1,c1ccccc1OCCO,1.845002139484949
Nc1ccccc1,OCCOCCOCCOCCOCCOCCOCCOCCO,2.2381569468321856
Nc1ccccc1,CC(O)CO,1.6209914918669117
Nc1ccccc1,CC1CO1,1.8260075996598617
Nc1ccccc1,CCCCCCCCCCCCCOCCOCCOCCO,2.10159747649403
Nc1ccccc1,ClC(Cl)=C(Cl)Cl,1.8393000359197595
Nc1ccccc1,Cc1ccccc1,1.7522736644652461
Nc1ccccc1,CC(C)OCC(C)OCC(C)O,1.965381003627224
Nc1ccccc1,CC(C)OCC(C)OCC(C)O,1.7835698850841264
CCCCOCCO,CCCCOCCCC,1.7089992853997185
CCCCOCCO,ClC(Cl)(Cl)Cl,1.8389405963416936
CCCCOCCO,OCCNCCO,1.7760274243190868
CCCCOCCO,C1COCCO1,1.3838344513392287
CCCCOCCO,CCOC(=O)C,1.5077518431297394
CCCCOCCO,CCOC(=O)C=C,1.9383849302417246
CCCCOCCO,CCO,1.442041433434849
CCCCOCCO,OCCO,1.4593843148767967
CCCCOCCO,C=O,1.6834803567253265
CCCCOCCO,CC1=CC(=O)CC(C)(C)C1,1.6669060589911235
CCCCOCCO,C1COCCN1,1.7877968740346417
CCCCOCCO,[O-][N+](=O)c1ccccc1,2.072441606398547
CCCCOCCO,c1ccccc1OCCO,1.3652190672391553
CCCCOCCO,OCCOCCOCCOCCOCCOCCOCCOCCO,1.9020394201446318
CCCCOCCO,CC(O)CO,1.4600993940491773
CCCCOCCO,CC1CO1,1.7583403145679641
CCCCOCCO,CCCCCCCCCCCCCOCCOCCOCCO,1.699376833088633
CCCCOCCO,ClC(Cl)=C(Cl)Cl,1.6770460233358602
CCCCOCCO,Cc1ccccc1,1.65618271467354
CCCCOCCO,CC(C)OCC(C)OCC(C)O,1.6057497305371613
CCCCOCCO,CC(C)OCC(C)OCC(C)O,1.5566022348001505
CCCCOCCCC,ClC(Cl)(Cl)Cl,1.6025792766385145
CCCCOCCCC,OCCNCCO,1.8863634804458087
CCCCOCCCC,C1COCCO1,1.060750869062134
